Name	lat	lon	
Ben & Jerry's	43.825087	-70.077085
Ben & Jerry's	44.025087	-71.087085
Ben & Jerry's	43.363599	-70.494566
Ben & Jerry's	43.205087	-70.677085
Ben & Jerry's	44.062398	-71.153746
Ben & Jerry's	43.634556	-71.483335
Ben & Jerry's	42.348874	-71.043882
Ben & Jerry's	42.267626	-71.439390
Ben & Jerry's	41.432916	-72.120543
Ben & Jerry's	42.640496	-73.746519
Ben & Jerry's	44.330205	-72.757750
Ben & Jerry's	44.612439	-72.801695
Ben & Jerry's	44.799837	-73.109312
Ben & Jerry's	44.487171	-73.263121
